192.168.0.121 - - [29/Jan/2015:12:37:36 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:37:39 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:37:39 +0800] "GET /videotest/VideoTest6.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:12:37:39 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:37:39 +0800] "GET /videotest/VideoTest5.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:12:37:40 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:37:42 +0800] "GET /videotest/VideoTest3.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:12:37:43 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:37:45 +0800] "GET /videotest/VideoTest4.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:12:37:45 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:37:46 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:37:54 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:39:09 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:39:09 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:39:09 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:39:09 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:39:09 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:39:09 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:39:09 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:39:09 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:39:09 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:39:09 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
